ORÇAMENTO ORIGINAL,,,,,,,,,,,,
DIA/MÊS,VALOR,DESCRIÇÃO,TIPO,,,Competência,DIA/MÊS,VALOR,DESCRIÇÃO,TIPO,,
01/ago.,"1.093,91",MOINHOS diferença do dissidio,Receita,,,,,,,,,
01/ago.,"2.081,75",MOINHOS adto 1ª parcela 10º,Receita,,,ago./2025,05/ago.,"19.000,00",COFELMA,Receita,,
01/ago.,"2.153,67",MOINHOS,Receita,,,ago./2025,05/ago.,"-198,91",cheque especial do Santander,Despesa,,
01/ago.,"-416,27",Limite Santander,Despesa,,,ago./2025,04/ago.,"-424,00",Emprestimo Tieda,Despesa,,
01/ago.,"-350,00",Samanta,Despesa,,,ago./2025,04/ago.,"-278,00",Laura Curso,Despesa,,
01/ago.,"-750,00",Tieda,Despesa,,,ago./2025,05/ago.,"-100,00",Gladis,Despesa,,
01/ago.,"-1.000,00",Cássio,Despesa,,,ago./2025,05/ago.,"-1.215,76",contador Rodrigo,Despesa,ok,
01/ago.,"-900,00",Fernando,Despesa,,,ago./2025,05/ago.,"-387,61",contador Rodrigo - mensal,Despesa,ok,
,,,,,,ago./2025,05/ago.,"-5.000,00",Elinilson parc carro,Despesa,ok,
02/ago.,"-181,93",Santander,Despesa,,,ago./2025,05/ago.,"-2.722,88",Quinto Andar,Despesa,ok,
,,,,,,ago./2025,05/ago.,"-500,00",Pgto crédito Nubank,Despesa,ok,
02/ago.,"-58,96",CRA-RS,Despesa,,,ago./2025,05/ago.,"-280,00",Estacionamento POA,Despesa,ok,
,,,,,,ago./2025,05/ago.,"-11,00",Café Setor,Despesa,ok,
04/ago.,"-424,00",Emprestimo Tieda,Despesa,,,ago./2025,05/ago.,"-250,65",RGE Ape Cachoeirinha (atrasada),Despesa,ok,
04/ago.,"-278,00",Laura Curso,Despesa,,,ago./2025,08/ago.,,Passagens Rodrigo,Despesa,Está com o carro. Fazer Bla Bla Car,
05/ago.,"-891,01",Cartão de crédito Santander,Despesa,,,ago./2025,10/ago.,"-311,71",Condominio Amazonas,Despesa,ok,
05/ago.,"79,16",SALDO PARCIAL,,,,ago./2025,10/ago.,"-554,85",Caixa Economica,Despesa,ok,
05/ago.,"9.500,00",COFELMA,Receita,,,ago./2025,10/ago.,"-1.017,86",Unimed Malu,Despesa,ok,
05/ago.,"-1.200,00",contador Rodrigo,Despesa,,,ago./2025,10/ago.,"350,00",Design cliente Alice 1/2,Receita,SIMULAÇÃO,
05/ago.,"-379,50",contador Rodrigo - mensal,Despesa,,,ago./2025,15/ago.,"687,30",SALDO PARCIAL,,,475
05/ago.,"-6.000,00",Elinilson parc carro,Despesa,,,ago./2025,15/ago.,"2.954,00",MOINHOS,Receita,ok,2650
,,,,,,ago./2025,15/ago., ,COFELMA,Receita,,2175
07/ago.,"-2.722,88",Quinto Andar,Despesa,,,ago./2025,17/ago.,"-865,80",Cartão de crédito Nubank,Despesa,ok,
,,,,,,ago./2025,15/ago.,"-1.000,00",Elinilson parc carro,Despesa,ok,
,,,,,,ago./2025,15/ago.,"-550,00",Sr José,Despesa,ok,
,,,,,,ago./2025,15/ago.,"-750,00",Tieda,Despesa,ok,
07/ago.,"-280,00",Estacionamento POA,Despesa,,,ago./2025,15/ago.,"-350,00",Samanta,Despesa,ok,
10/ago.,"-404,92",Condominio Amazonas,Despesa,,,ago./2025,15/ago.,"-500,00",Iphone Bruna,Despesa,ok,
10/ago.,"-554,85",Caixa Economica,Despesa,,,ago./2025,15/ago.,"750,00",Customic,Receita,,
,"-1.962,99",SALDO PARCIAL,,,,ago./2025,15/ago.,,Fatura Claro Wifi,Despesa,,
,,,,,,,,"1.200,00",SALDO TOTAL,,,
,,,,,,ago./2025,22/ago.,"-400,00",cheque especial Santander,Despesa,,
,,,,,,ago./2025,22/ago.,"-688,19",DARF L&B Solutions,Despesa,ok,
15/ago.,"-550,00",Sr José,Despesa,,,ago./2025,22/ago.,"750,00",Customic,Receita,,
,,,,,,ago./2025,22/ago.,"-54,99",Farmacia Malu,Despesa,,
,,,,,,ago./2025,22/ago.,"-200,00",Mercado Finde,Despesa,,
,,,,,,ago./2025,22/ago.,"-100,00",Gasolina,Despesa,,
15/ago.,"-350,00",Samanta,Despesa,,,ago./2025,25/ago.,"350,00",Desing cliente Belk 2/2,Receita,,
,,,,,,ago./2025,26/08,"-52,63",Taxa baixa do MEI,Despesa,ok,
15/ago.,"-750,00",Tieda,Despesa,,,ago./2025,,"0,00",SALDO TOTAL,Saldo,,
,,,,,,set./2025,29/ago.,"750,00",Customic,Receita,,
15/ago.,"-256,13",RGE Ape Cachoeirinha,Despesa,,,set./2025,01/set.,"1.488,58",MOINHOS,Receita,,
15/ago.,"-250,00",Energia CEEE Ape Poa,Despesa,,,set./2025,01/set.,"-350,00",Samanta,Despesa,ok,
17/ago.,"-1.515,80",Cartão de crédito Nubank,Despesa,,,set./2025,01/set.,"-750,00",Tieda,Despesa,ok,
,,,,,,set./2025,01/set.,"-264,56",Condominio Amazonas (em atraso),Despesa,,
01/set.,"-350,00",Samanta,Despesa,,,set./2025,02/set.,"-58,96",CRA-RS,Despesa,,
01/set.,"-750,00",Tieda,Despesa,,,set./2025,04/set.,"-424,00",Emprestimo Tieda,Despesa,,
,,,,,,set./2025,04/set.,,Despesas da semana mercado e gasolina,Despesa,,
,,,,,,set./2025,,"0,00",SALDO PARCIAL,Saldo,,
04/set.,"-424,00",Emprestimo Tieda,Despesa,,,set./2025,05/set.,"19.000,00",COFELMA,Receita,,
,,,,,,,,"750,00",CUSTOMIC,Receita,,
,,,,,,set./2025,05/set.,"-1.603,37",boleto contabilidade atrasado,Despesa,Pago,
,,,,,,set./2025,05/set.,"-1.192,09",impostos L&B Solutions,Despesa,Pago,
