Categoria;Descrição;Data Vencimento;Valor;Situação;Data Pagamento;Forma Pagamento;Tipo;Observação
Moradia;Luz Apto Cachoeirinha;18/08/2025;-R$ 298,87;PAGO;01/10/2025;Conta Corrente;Saída;Energia atrasada de agosto
Moradia;Condomínio Santa Maria B3 102;05/09/2025;-R$ 411,24;PAGO;01/10/2025;Conta Corrente;Saída;
Livre;Cartão de Crédito;01/01/2026;-R$ 146,14;PAGO;01/01/2026;Conta Corrente;Saída;
Moradia;Condomínio Santa Maria H3 105;05/12/2025;-R$ 398,89;PAGO;09/12/2025;Conta Corrente;Saída;
Livre;Cartão de Crédito;01/01/2026;-R$ 695,76;PAGO;01/01/2026;Conta Corrente;Saída;
Livre;Cartão de Crédito;01/05/2026;-R$ 2.000,00;NÃO PAGO;01/05/2026;Conta Corrente;Saída;Provisao
Livre;Cartão de Crédito;01/06/2026;-R$ 2.000,00;NÃO PAGO;01/06/2026;Conta Corrente;Saída;
Livre;Cartão de Crédito;01/07/2026;-R$ 2.000,00;NÃO PAGO;01/07/2026;Conta Corrente;Saída;
Livre;Cartão de Crédito;01/08/2026;-R$ 2.000,00;NÃO PAGO;01/08/2026;Conta Corrente;Saída;
Livre;Cartão de Crédito;01/09/2026;-R$ 2.000,00;NÃO PAGO;01/09/2026;Conta Corrente;Saída;
Livre;Cartão de Crédito;01/10/2026;-R$ 2.000,00;NÃO PAGO;01/10/2026;Conta Corrente;Saída;
Livre;Cartão de Crédito;01/11/2026;-R$ 2.000,00;NÃO PAGO;01/11/2026;Conta Corrente;Saída;
Livre;Cartão de Crédito;01/12/2026;-R$ 2.000,00;NÃO PAGO;01/12/2026;Conta Corrente;Saída;
Moradia;Cássio;01/01/2026;-R$ 1.000,00;PAGO;01/01/2026;Conta Corrente;Saída;
Salário;Cofelma;01/01/2026;R$ 19.000,00;PAGO;01/01/2026;Conta Corrente;Entrada;
Viagens;Estadia casa sogra;01/01/2026;-R$ 100,00;PAGO;01/01/2026;Conta Corrente;Saída;
Pensões;Fernando;01/01/2026;-R$ 800,00;PAGO;01/01/2026;Conta Corrente;Saída;
Pensões;José;01/01/2026;-R$ 550,00;PAGO;01/10/2025;Conta Corrente;Saída;
Impostos;L&B Solutions - Contador;01/01/2026;-R$ 379,50;PAGO;;Conta Corrente;Saída;
Impostos;L&B Solutions - Impostos;01/01/2026;-R$ 388,13;NÃO PAGO;;Conta Corrente;Saída;
Impostos;L&B Solutions - Impostos;01/01/2026;-R$ 1.324,53;NÃO PAGO;;Conta Corrente;Saída;
Impostos;L&B Solutions - Impostos;01/01/2026;-R$ 1.219,77;NÃO PAGO;;Conta Corrente;Saída;
Impostos;L&B Solutions - Impostos;01/09/2026;-R$ 4.000,00;NÃO PAGO;;Conta Corrente;Saída;Provisão
Impostos;L&B Solutions - Impostos;01/08/2026;-R$ 4.000,00;NÃO PAGO;;Conta Corrente;Saída;Provisão
Impostos;L&B Solutions - Impostos;01/07/2026;-R$ 4.000,00;NÃO PAGO;;Conta Corrente;Saída;Provisão
Impostos;L&B Solutions - Impostos;01/06/2026;-R$ 4.000,00;NÃO PAGO;;Conta Corrente;Saída;Provisão
Impostos;L&B Solutions - Impostos;01/05/2026;-R$ 4.000,00;NÃO PAGO;;Conta Corrente;Saída;Provisão
Impostos;L&B Solutions - Impostos;01/01/2026;-R$ 998,68;NÃO PAGO;;Conta Corrente;Saída;
Pensões;Samanta;01/01/2026;-R$ 700,00;PAGO;01/01/2026;Conta Corrente;Saída;
Pensões;Tieda;01/01/2026;-R$ 1.924,00;PAGO;01/01/2026;Conta Corrente;Saída;
Salário;Customic;02/01/2026;R$ 750,00;PAGO;02/01/2026;Conta Corrente;Entrada;
Livre;15 anos Laura;05/01/2026;-R$ 4.000,00;PAGO;05/01/2026;Conta Corrente;Saída;
Moradia;Aluguel Apto Cachoeirinha;05/01/2026;R$ 900,00;PAGO;05/01/2026;Conta Corrente;Entrada;
Moradia;Aluguel Santa Maria B3 102;05/01/2026;R$ 0,00;PAGO;05/01/2026;Conta Corrente;Saída;
Moradia;Aluguel Santa Maria H3 105;05/01/2026;-R$ 929,98;PAGO;05/01/2026;Conta Corrente;Saída;
Moradia;Condomínio Santa Maria B3 102;05/01/2026;-R$ 398,89;PAGO;05/01/2026;Conta Corrente;Saída;
Salário;Customic;26/09/2025;R$ 750,00;PAGO;26/09/2025;Conta Corrente;Entrada;
Salário;HMV;01/10/2025;R$ 1.703,66;PAGO;01/10/2025;Conta Corrente;Entrada;Desconto de R$ 630,64 de farmácia
Pensões;Fernando;01/10/2025;-R$ 810,00;PAGO;01/10/2025;Conta Corrente;Saída;
Pensões;Fernando;01/11/2025;-R$ 810,00;PAGO;01/11/2025;Conta Corrente;Saída;
Pensões;Fernando;01/12/2025;-R$ 810,00;PAGO;01/12/2025;Conta Corrente;Saída;
Moradia;Condomínio Santa Maria H3 105;05/01/2026;R$ 424,35;PAGO;05/01/2026;Conta Corrente;Saída;
Transporte;Parcelamento Carro;01/10/2025;-R$ 1.000,00;PAGO;01/10/2025;Conta Corrente;Saída;Ultima parcela
Livre;Ajuda Gladis;01/10/2025;-R$ 2.000,00;PAGO;01/10/2025;Conta Corrente;Saída;
